prod_inchi,prod_mults,reac_inchi,reac_mults
InChI=1S/CH3O.O/c1-2;/h1H3;,2_3,InChI=1S/CH3.O2/c;1-2/h1H3;,2_3
InChI=1S/CH2O.HO/c1-2;/h1H2;1H,1_2,InChI=1S/CH3.O2/c;1-2/h1H3;,2_3
InChI=1S/CH2O.H/c1-2;/h1H2;,1_2,InChI=1S/CH3.O/h1H3;,2_3
InChI=1S/CH2.H2O/h2*1H2,1_1,InChI=1S/CH3.HO/h1H3;1H,2_2
InChI=1S/CH2O.H2/c1-2;/h1H2;1H,1_1,InChI=1S/CH3.HO/h1H3;1H,2_2
"InChI=1S/CH3O.H/c1-2;/h2H,1H2;",2_2,InChI=1S/CH3.HO/h1H3;1H,2_2
InChI=1S/CH3O.H/c1-2;/h1H3;,2_2,InChI=1S/CH3.HO/h1H3;1H,2_2
InChI=1S/CH2O.H2/c1-2;/h1-2H;1H,1_1,InChI=1S/CH3.HO/h1H3;1H,2_2
InChI=1S/CH2.H2O/h2*1H2,3_1,InChI=1S/CH3.HO/h1H3;1H,2_2
InChI=1S/CH3O.HO/c1-2;/h1H3;1H,2_2,InChI=1S/CH3.HO2/c;1-2/h1H3;1H,2_2
InChI=1S/CH3O.O2/c2*1-2/h1H3;,2_3,InChI=1S/CH3O2.O/c1-3-2;/h1H3;,2_3
InChI=1S/CH3O.HO/c1-2;/h1H3;1H,2_2,InChI=1S/CH3O2.H/c1-3-2;/h1H3;,2_2
"InChI=1S/CH4O.O2/c2*1-2/h2H,1H3;",1_3,InChI=1S/CH3O2.HO/c1-3-2;/h1H3;1H,2_2
"InChI=1S/CH4O2.O2/c1-3-2;1-2/h2H,1H3;",1_3,InChI=1S/CH3O2.HO2/c1-3-2;1-2/h1H3;1H,2_2
"InChI=1S/CH4O2.HO2/c1-3-2;1-2/h2H,1H3;1H",1_2,InChI=1S/CH3O2.H2O2/c1-3-2;1-2/h1H3;1-2H,2_1
InChI=1S/2CH3O/c2*1-2/h2*1H3,2_2,InChI=1S/CH3O2.CH3/c1-3-2;/h1H3;1H3,2_2
"InChI=1S/CH4O2.H/c1-3-2;/h2H,1H3;",1_2,InChI=1S/CH3O2.H2/c1-3-2;/h1H3;1H,2_1
InChI=1S/CH3O.HO/c1-2;/h1H3;1H,2_2,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",1
InChI=1S/CH2O.HO/c1-2;/h1H2;1H,1_2,"InChI=1S/CH3O2/c1-3-2/h2H,1H2",2
InChI=1S/CH3.HO/h1H3;1H,2_2,"InChI=1S/CH4O/c1-2/h2H,1H3",1
InChI=1S/CH2.H2O/h2*1H2,1_1,"InChI=1S/CH4O/c1-2/h2H,1H3",1
"InChI=1S/CH3O.H/c1-2;/h2H,1H2;",2_2,"InChI=1S/CH4O/c1-2/h2H,1H3",1
InChI=1S/CH3O.H2/c1-2;/h1H3;1H,2_1,"InChI=1S/CH4O.H/c1-2;/h2H,1H3;",1_2
"InChI=1S/CH3O.H2/c1-2;/h2H,1H2;1H",2_1,"InChI=1S/CH4O.H/c1-2;/h2H,1H3;",1_2
InChI=1S/CH3O.HO/c1-2;/h1H3;1H,2_2,"InChI=1S/CH4O.O/c1-2;/h2H,1H3;",1_3
"InChI=1S/CH3O.HO/c1-2;/h2H,1H2;1H",2_2,"InChI=1S/CH4O.O/c1-2;/h2H,1H3;",1_3
InChI=1S/CH3O.H2O/c1-2;/h1H3;1H2,2_1,"InChI=1S/CH4O.HO/c1-2;/h2H,1H3;1H",1_2
"InChI=1S/CH3O.H2O/c1-2;/h2H,1H2;1H2",2_1,"InChI=1S/CH4O.HO/c1-2;/h2H,1H3;1H",1_2
InChI=1S/CH3O.HO2/c2*1-2/h1H3;1H,2_2,"InChI=1S/CH4O.O2/c2*1-2/h2H,1H3;",1_3
"InChI=1S/CH3O.HO2/c2*1-2/h2H,1H2;1H",2_2,"InChI=1S/CH4O.O2/c2*1-2/h2H,1H3;",1_3
InChI=1S/CH3O.H2O2/c2*1-2/h1H3;1-2H,2_1,"InChI=1S/CH4O.HO2/c2*1-2/h2H,1H3;1H",1_2
"InChI=1S/CH3O.H2O2/c2*1-2/h2H,1H2;1-2H",2_1,"InChI=1S/CH4O.HO2/c2*1-2/h2H,1H3;1H",1_2
"InChI=1S/CH3O.CH4/c1-2;/h2H,1H2;1H4",2_1,"InChI=1S/CH4O.CH3/c1-2;/h2H,1H3;1H3",1_2
InChI=1S/CH3O.CH4/c1-2;/h1H3;1H4,2_1,"InChI=1S/CH4O.CH3/c1-2;/h2H,1H3;1H3",1_2
"InChI=1S/CH3O.CH2O/c2*1-2/h2H,1H2;1H2",2_1,"InChI=1S/CH4O.CHO/c2*1-2/h2H,1H3;1H",1_2
"InChI=1S/CH4O.CH3O/c2*1-2/h2H,1H3;2H,1H2",1_2,"InChI=1S/CH4O.CH3O/c2*1-2/h2H,1H3;1H3",1_2
"InChI=1S/CH4O2.CH3O/c1-3-2;1-2/h2H,1H3;2H,1H2",1_2,"InChI=1S/CH3O2.CH4O/c1-3-2;1-2/h1H3;2H,1H3",2_1
InChI=1S/CH2O.HO2/c2*1-2/h1H2;1H,1_2,"InChI=1S/CH3O.O2/c2*1-2/h2H,1H2;",2_3
InChI=1S/CH2O.HO2/c2*1-2/h1H2;1H,1_2,"InChI=1S/CH3O.O2/c2*1-2/h2H,1H2;",2_3
InChI=1S/CH2O.H2/c1-2;/h1H2;1H,1_1,"InChI=1S/CH3O.H/c1-2;/h2H,1H2;",2_2
InChI=1S/CH2O.H2O2/c2*1-2/h1H2;1-2H,1_1,"InChI=1S/CH3O.HO2/c2*1-2/h2H,1H2;1H",2_2
InChI=1S/2CH2O/c2*1-2/h2*1H2,1_1,"InChI=1S/CH3O.CHO/c2*1-2/h2H,1H2;1H",2_2
"InChI=1S/CH4O.CO/c2*1-2/h2H,1H3;",1_1,"InChI=1S/CH3O.CHO/c2*1-2/h2H,1H2;1H",2_2
"InChI=1S/CH4O.CH2O/c2*1-2/h2H,1H3;1H2",1_1,"InChI=1S/2CH3O/c2*1-2/h1H3;2H,1H2",2_2
InChI=1S/CH2O.H2O/c1-2;/h1H2;1H2,1_1,"InChI=1S/CH3O.HO/c1-2;/h2H,1H2;1H",2_2
InChI=1S/CH2O.HO/c1-2;/h1H2;1H,1_2,"InChI=1S/CH3O.O/c1-2;/h2H,1H2;",2_3
"InChI=1S/CH4O.CH2O/c2*1-2/h2H,1H3;1H2",1_1,"InChI=1S/2CH3O/c2*1-2/h2*2H,1H2",2_2
"InChI=1S/CH3O2.HO/c2-1-3;/h2H,1H2;1H",2_2,"InChI=1S/CH3O.HO2/c2*1-2/h2H,1H2;1H",2_2
InChI=1S/CH2O.HO2/c2*1-2/h1H2;1H,1_2,InChI=1S/CH3O.O2/c2*1-2/h1H3;,2_3
InChI=1S/CH2O.H2/c1-2;/h1H2;1H,1_1,InChI=1S/CH3O.H/c1-2;/h1H3;,2_2
InChI=1S/CH2O.H2O2/c2*1-2/h1H2;1-2H,1_1,InChI=1S/CH3O.HO2/c2*1-2/h1H3;1H,2_2
InChI=1S/CH2O.CH4/c1-2;/h1H2;1H4,1_1,InChI=1S/CH3O.CH3/c1-2;/h1H3;1H3,2_2
"InChI=1S/CH4O.CH2O/c2*1-2/h2H,1H3;1H2",1_1,InChI=1S/2CH3O/c2*1-2/h2*1H3,2_2
InChI=1S/CO2.H2O/c2-1-3;/h;1H2,1_1,InChI=1S/CH2O.O2/c2*1-2/h1-2H;,1_3
InChI=1S/CH2O.H/c1-2;/h1H2;,1_2,InChI=1S/CH2O.H/c1-2;/h1-2H;,1_2
InChI=1S/CHO.H2O/c1-2;/h1H;1H2,2_1,InChI=1S/CH2O.HO/c1-2;/h1-2H;1H,1_2
InChI=1S/CH2O/c1-2/h1H2,1,InChI=1S/CHO.H/c1-2;/h1H;,2_2
InChI=1S/CH2O/c1-2/h1H2,1,InChI=1S/CO.H2/c1-2;/h;1H,1_1
InChI=1S/CHO.HO2/c2*1-2/h2*1H,2_2,InChI=1S/CH2O.O2/c2*1-2/h1H2;,1_3
InChI=1S/CHO.HO/c1-2;/h1H;1H,2_2,InChI=1S/CH2O.O/c1-2;/h1H2;,1_3
InChI=1S/CHO.H2/c1-2;/h1H;1H,2_1,InChI=1S/CH2O.H/c1-2;/h1H2;,1_2
InChI=1S/CHO.H2O/c1-2;/h1H;1H2,2_1,InChI=1S/CH2O.HO/c1-2;/h1H2;1H,1_2
InChI=1S/CHO.H2O2/c2*1-2/h1H;1-2H,2_1,InChI=1S/CH2O.HO2/c2*1-2/h1H2;1H,1_2
InChI=1S/CHO.CH4/c1-2;/h1H;1H4,2_1,InChI=1S/CH2O.CH3/c1-2;/h1H2;1H3,1_2
"InChI=1S/CH2O3.CHO/c2-1-4-3;1-2/h1,3H;1H",1_2,InChI=1S/CHO3.CH2O/c2-1-4-3;1-2/h1H;1H2,2_1
"InChI=1S/CH2O2.CHO/c2-1-3;1-2/h1H,(H,2,3);1H",1_2,InChI=1S/CHO2.CH2O/c2-1-3;1-2/h1H;1H2,2_1
"InChI=1S/CH4O.CHO/c2*1-2/h2H,1H3;1H",1_2,InChI=1S/CH3O.CH2O/c2*1-2/h1H3;1H2,2_1
"InChI=1S/CH4O2.CHO/c1-3-2;1-2/h2H,1H3;1H",1_2,InChI=1S/CH3O2.CH2O/c1-3-2;1-2/h1H3;1H2,2_1
InChI=1S/CO.H/c1-2;,1_2,InChI=1S/CHO/c1-2/h1H,2
InChI=1S/CO.HO2/c2*1-2/h;1H,1_2,InChI=1S/CHO.O2/c2*1-2/h1H;,2_3
InChI=1S/CO.HO/c1-2;/h;1H,1_2,InChI=1S/CHO.O/c1-2;/h1H;,2_3
InChI=1S/CO.H2/c1-2;/h;1H,1_1,InChI=1S/CHO.H/c1-2;/h1H;,2_2
InChI=1S/CO.H2O/c1-2;/h;1H2,1_1,InChI=1S/CHO.HO/c1-2;/h1H;1H,2_2
InChI=1S/CO.CH4/c1-2;/h;1H4,1_1,InChI=1S/CHO.CH3/c1-2;/h1H;1H3,2_2
InChI=1S/CH2O.CO/c2*1-2/h1H2;,1_1,InChI=1S/2CHO/c2*1-2/h2*1H,2_2
InChI=1S/CO2.H/c2-1-3;,1_2,InChI=1S/CHO.O/c1-2;/h1H;,2_3
"InChI=1S/CH3O/c1-2/h2H,1H2",2,InChI=1S/CH2O.H/c1-2;/h1H2;,1_2
InChI=1S/CH2O.H/c1-2;/h1H2;,1_2,InChI=1S/CH3O/c1-2/h1H3,2
"InChI=1S/CH3O2/c2-1-3/h2H,1H2",2,InChI=1S/CH2O.HO/c1-2;/h1H2;1H,1_2
"InChI=1S/CH2O2.H/c2-1-3;/h1H,(H,2,3);",1_2,"InChI=1S/CH3O2/c2-1-3/h2H,1H2",2
"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2",2,InChI=1S/CH2O.HO2/c2*1-2/h1H2;1H,1_2
"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2",2,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2",2
"InChI=1S/CH4O3.O2/c2-1-4-3;1-2/h2-3H,1H2;",1_3,"InChI=1S/CH3O3.HO2/c2-1-4-3;1-2/h2H,1H2;1H",2_2
"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2",1,"InChI=1S/CH3O2.HO/c2-1-3;/h2H,1H2;1H",2_2
InChI=1S/CHO3/c2-1-4-3/h1H,2,InChI=1S/CHO.O2/c2*1-2/h1H;,2_3
InChI=1S/CO.H2O/c1-2;/h;1H2,1_1,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",1
InChI=1S/CO2.H2/c2-1-3;/h;1H,1_1,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",1
"InChI=1S/CH2O2.O2/c2-1-3;1-2/h1H,(H,2,3);",1_3,InChI=1S/CHO2.HO2/c2-1-3;1-2/h1H;1H,2_2
"InChI=1S/CH2O2.HO2/c2-1-3;1-2/h1H,(H,2,3);1H",1_2,InChI=1S/CHO2.H2O2/c2-1-3;1-2/h1H;1-2H,2_1
"InChI=1S/CH2O3/c2-1-4-3/h1,3H",1,InChI=1S/CHO2.HO/c2-1-3;/h1H;1H,2_2
InChI=1S/C2H6/c1-2/h1-2H3,1,InChI=1S/2CH3/h2*1H3,2_2
InChI=1S/C2H6/c1-2/h1-2H3,1,"InChI=1S/C2H5.H/c1-2;/h1H2,2H3;",2_2
"InChI=1S/C2H5.HO2/c2*1-2/h1H2,2H3;1H",2_2,InChI=1S/C2H6.O2/c2*1-2/h1-2H3;,1_3
"InChI=1S/C2H5.HO/c1-2;/h1H2,2H3;1H",2_2,InChI=1S/C2H6.O/c1-2;/h1-2H3;,1_3
"InChI=1S/C2H5.H2/c1-2;/h1H2,2H3;1H",2_1,InChI=1S/C2H6.H/c1-2;/h1-2H3;,1_2
"InChI=1S/C2H5.H2O/c1-2;/h1H2,2H3;1H2",2_1,InChI=1S/C2H6.HO/c1-2;/h1-2H3;1H,1_2
"InChI=1S/C2H5.H2O2/c2*1-2/h1H2,2H3;1-2H",2_1,InChI=1S/C2H6.HO2/c2*1-2/h1-2H3;1H,1_2
"InChI=1S/C2H5.CH3/c1-2;/h1H2,2H3;1H3",2_2,InChI=1S/C2H6.CH2/c1-2;/h1-2H3;1H2,1_1
"InChI=1S/C2H5.CH4/c1-2;/h1H2,2H3;1H4",2_1,InChI=1S/C2H6.CH3/c1-2;/h1-2H3;1H3,1_2
"InChI=1S/C2H5.CH4O/c2*1-2/h1H2,2H3;2H,1H3",2_1,InChI=1S/C2H6.CH3O/c2*1-2/h1-2H3;1H3,1_2
"InChI=1S/C2H5.CH4O2/c1-2;1-3-2/h1H2,2H3;2H,1H3",2_1,InChI=1S/C2H6.CH3O2/c1-2;1-3-2/h1-2H3;1H3,1_2
"InChI=1S/C2H6O2.C2H5/c1-2-4-3;1-2/h3H,2H2,1H3;1H2,2H3",1_2,"InChI=1S/C2H5O2.C2H6/c1-2-4-3;1-2/h2H2,1H3;1-2H3",2_1
"InChI=1S/C2H5/c1-2/h1H2,2H3",2,InChI=1S/C2H4.H/c1-2;/h1-2H2;,1_2
InChI=1S/C2H4.H2/c1-2;/h1-2H2;1H,1_1,"InChI=1S/C2H5.H/c1-2;/h1H2,2H3;",2_2
"InChI=1S/C2H5.C2H3/c2*1-2/h1H2,2H3;1H,2H2",2_2,InChI=1S/2C2H4/c2*1-2/h2*1-2H2,1_1
InChI=1S/C2H4.CH4/c1-2;/h1-2H2;1H4,1_1,"InChI=1S/C2H5.CH3/c1-2;/h1H2,2H3;1H3",2_2
"InChI=1S/C2H4O.H/c1-2-3;/h2H,1H3;",1_2,"InChI=1S/C2H5.O/c1-2;/h1H2,2H3;",2_3
"InChI=1S/C2H5O.HO/c1-2-3;/h2H2,1H3;1H",2_2,"InChI=1S/C2H5.HO2/c2*1-2/h1H2,2H3;1H",2_2
"InChI=1S/C2H5O.CH3O/c1-2-3;1-2/h2H2,1H3;1H3",2_2,"InChI=1S/C2H5.CH3O2/c1-2;1-3-2/h1H2,2H3;1H3",2_2
"InChI=1S/C2H5.H/c1-2;/h1H2,2H3;",2_2,InChI=1S/2CH3/h2*1H3,2_2
"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2,"InChI=1S/C2H5.O2/c2*1-2/h1H2,2H3;",2_3
"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",2,"InChI=1S/C2H5.O2/c2*1-2/h1H2,2H3;",2_3
InChI=1S/C2H4.HO2/c2*1-2/h1-2H2;1H,1_2,"InChI=1S/C2H5.O2/c2*1-2/h1H2,2H3;",2_3
InChI=1S/C2H4O.HO/c1-2-3-1;/h1-2H2;1H,1_2,"InChI=1S/C2H5.O2/c2*1-2/h1H2,2H3;",2_3
"InChI=1S/C2H4O.HO/c1-2-3;/h2H,1H3;1H",1_2,"InChI=1S/C2H5.O2/c2*1-2/h1H2,2H3;",2_3
"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",2
"InChI=1S/C2H4O.HO/c1-2-3;/h2H,1H3;1H",1_2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2
InChI=1S/C2H4.HO2/c2*1-2/h1-2H2;1H,1_2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2
InChI=1S/C2H4O.HO/c1-2-3-1;/h1-2H2;1H,1_2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2
InChI=1S/C2H4O.HO/c1-2-3-1;/h1-2H2;1H,1_2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",2
InChI=1S/C2H4.HO2/c2*1-2/h1-2H2;1H,1_2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",2
"InChI=1S/C2H4O.HO/c1-2-3;/h2H,1H3;1H",1_2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",2
"InChI=1S/C2H6O2.H/c1-2-4-3;/h3H,2H2,1H3;",1_2,"InChI=1S/C2H5O2.H2/c1-2-4-3;/h2H2,1H3;1H",2_1
"InChI=1S/C2H6O2.O2/c1-2-4-3;1-2/h3H,2H2,1H3;",1_3,"InChI=1S/C2H5O2.HO2/c1-2-4-3;1-2/h2H2,1H3;1H",2_2
"InChI=1S/C2H6O2.CHO/c1-2-4-3;1-2/h3H,2H2,1H3;1H",1_2,"InChI=1S/C2H5O2.CH2O/c1-2-4-3;1-2/h2H2,1H3;1H2",2_1
"InChI=1S/C2H6O2.CH3/c1-2-4-3;/h3H,2H2,1H3;1H3",1_2,"InChI=1S/C2H5O2.CH4/c1-2-4-3;/h2H2,1H3;1H4",2_1
"InChI=1S/C2H6O2.CH3O/c1-2-4-3;1-2/h3H,2H2,1H3;2H,1H2",1_2,"InChI=1S/C2H5O2.CH4O/c1-2-4-3;1-2/h2H2,1H3;2H,1H3",2_1
"InChI=1S/C2H5O.HO/c1-2-3;/h2H2,1H3;1H",2_2,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",1
InChI=1S/CHO.CH3/c1-2;/h1H;1H3,2_2,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,1
"InChI=1S/C2H4O/c1-2-3/h2H,1H3",1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,1
"InChI=1S/C2H3O.H2/c1-2-3-1;/h1H,2H2;1H",2_1,InChI=1S/C2H4O.H/c1-2-3-1;/h1-2H2;,1_2
"InChI=1S/C2H3O.H2O/c1-2-3-1;/h1H,2H2;1H2",2_1,InChI=1S/C2H4O.HO/c1-2-3-1;/h1-2H2;1H,1_2
"InChI=1S/C2H3O.H2O2/c1-2-3-1;1-2/h1H,2H2;1-2H",2_1,InChI=1S/C2H4O.HO2/c1-2-3-1;1-2/h1-2H2;1H,1_2
"InChI=1S/C2H3O.CH4/c1-2-3-1;/h1H,2H2;1H4",2_1,InChI=1S/C2H4O.CH3/c1-2-3-1;/h1-2H2;1H3,1_2
"InChI=1S/C2H3O.CH4O/c1-2-3-1;1-2/h1H,2H2;2H,1H3",2_1,InChI=1S/C2H4O.CH3O/c1-2-3-1;1-2/h1-2H2;1H3,1_2
"InChI=1S/C2H3O.CH4O2/c1-2-3-1;1-3-2/h1H,2H2;2H,1H3",2_1,InChI=1S/C2H4O.CH3O2/c1-2-3-1;1-3-2/h1-2H2;1H3,1_2
"InChI=1S/C2H6O2.C2H3O/c1-2-4-3;1-2-3-1/h3H,2H2,1H3;1H,2H2",1_2,"InChI=1S/C2H5O2.C2H4O/c1-2-4-3;1-2-3-1/h2H2,1H3;1-2H2",2_1
InChI=1S/C2H3O/c1-2-3/h1H3,2,"InChI=1S/C2H3O/c1-2-3-1/h1H,2H2",2
"InChI=1S/C2H3O/c1-2-3/h2H,1H2",2,"InChI=1S/C2H3O/c1-2-3-1/h1H,2H2",2
InChI=1S/C2H4/c1-2/h1-2H2,1,"InChI=1S/C2H3.H/c1-2;/h1H,2H2;",2_2
InChI=1S/C2H2.H2/c1-2;/h1H2;1H,1_1,InChI=1S/C2H4/c1-2/h1-2H2,1
"InChI=1S/C2H3.HO2/c2*1-2/h1H,2H2;1H",2_2,InChI=1S/C2H4.O2/c2*1-2/h1-2H2;,1_3
"InChI=1S/C2H3.H2/c1-2;/h1H,2H2;1H",2_1,InChI=1S/C2H4.H/c1-2;/h1-2H2;,1_2
"InChI=1S/C2H3.H2O/c1-2;/h1H,2H2;1H2",2_1,InChI=1S/C2H4.HO/c1-2;/h1-2H2;1H,1_2
"InChI=1S/C2H3.CH4O/c2*1-2/h1H,2H2;2H,1H3",2_1,InChI=1S/C2H4.CH3O/c2*1-2/h1-2H2;1H3,1_2
"InChI=1S/C2H3.CH4O2/c1-2;1-3-2/h1H,2H2;2H,1H3",2_1,InChI=1S/C2H4.CH3O2/c1-2;1-3-2/h1-2H2;1H3,1_2
"InChI=1S/C2H6O2.C2H3/c1-2-4-3;1-2/h3H,2H2,1H3;1H,2H2",1_2,"InChI=1S/C2H5O2.C2H4/c1-2-4-3;1-2/h2H2,1H3;1-2H2",2_1
"InChI=1S/C2H4O3.C2H3/c1-2(3)5-4;1-2/h4H,1H3;1H,2H2",1_2,InChI=1S/C2H3O3.C2H4/c1-2(3)5-4;1-2/h1H3;1-2H2,2_1
"InChI=1S/C2H3.CH4/c1-2;/h1H,2H2;1H4",2_1,InChI=1S/C2H4.CH3/c1-2;/h1-2H2;1H3,1_2
"InChI=1S/C2H3.CH4/c1-2;/h1H,2H2;1H4",2_1,InChI=1S/C2H4.CH3/c1-2;/h1-2H2;1H3,1_2
InChI=1S/CHO.CH3/c1-2;/h1H;1H3,2_2,InChI=1S/C2H4.O/c1-2;/h1-2H2;,1_3
"InChI=1S/C2H3O.H/c1-2-3;/h2H,1H2;",2_2,InChI=1S/C2H4.O/c1-2;/h1-2H2;,1_3
InChI=1S/C2H4.H/c1-2;/h1-2H2;,1_2,InChI=1S/CH3.CH2/h1H3;1H2,2_1
InChI=1S/CH2O.CH3/c1-2;/h1H2;1H3,1_2,InChI=1S/C2H4.HO/c1-2;/h1-2H2;1H,1_2
